character,dialogue,episode
THREEPIO,"Mmmm. Oh, my. Uh, I, uh -- Take this off I, uh, dont mean  to intrude here. I, dont, no, no, no...Please dont get up. No",episode V
THREEPIO,"Stormtroopers Here Were in danger. I must tell the  others. Oh, no Ive been shot",episode V
LANDO,Lord Vader.,episode V
VADER,You may take Captain Solo to Jabba the Hut after I  have Skywalker.,episode V
BOBA FETT,Hes no good to me dead.,episode V
VADER,He will not be permanently damaged.,episode V
LANDO,"Lord Vader, what about Leia and the Wookiee",episode V
VADER,They must never again leave this city.,episode V
LANDO,"That was never a condition of our agreement, nor was giving Han  to this bounty hunter",episode V
VADER,Perhaps you think youre being treated unfairly.,episode V
LANDO,No.,episode V
VADER,Good. It would be unfortunate if I had to leave a garrison  here.,episode V
LANDO,This deals getting worse all the time.,episode V
THREEPIO,"Oh, yes, thats very good. I like that. Oh Somethings not  right because now I cant see. Wait. Wait Oh, my what have you done Im backwards, you stupid furball. Only an overgrown mophead like you would be stupid enough...",episode V
HAN,I feel terrible.,episode V
LEIA,Why are they doing this,episode V
HAN,They never even asked me any questions.,episode V
LEIA,Lando.,episode V
HAN,"Get out of here, Lando",episode V
LANDO,Shut up and listen Vader has agreed to turn Leia and Chewie  over to me.,episode V
HAN,Over to you,episode V
LANDO,"Theyll have to stay here, but at least theyll be safe.",episode V
LEIA,What about Han,episode V
LANDO,Vaders giving him to the bounty hunter.,episode V
LEIA,Vader wants us all dead.,episode V
LANDO,He doesnt want you at all. Hes after somebody called  Skywalker.,episode V
HAN,Luke,episode V
LANDO,Lord Vader has set a trap for him.,episode V
LEIA,And were the bait.,episode V
LANDO,"Well, hes on his way.",episode V
HAN,"Perfect. You fixed us all pretty good, didnt you   My friend",episode V
LANDO,"Stop Ive done all I can do. Im sorry I couldnt do better,  but I have my own problems.",episode V
HAN,"Yeah, youre a real hero.",episode V
LEIA,You certainly have a way with people.,episode V
VADER,"This facility is crude, but it should be adequate to freeze  Skywalker for his journey to the Emperor.",episode V
IMPERIAL SOLDIER,"Lord Vader, ship approaching. X-wing class.",episode V
VADER,Good. Monitor Skywalker and allow him to land.,episode V
LANDO,"Lord Vader, we only use this facility for carbon freezing. If  you put him in there, it might kill him.",episode V
VADER,I do not want the Emperors prize damaged. We will test it...on  Captain Solo.,episode V
THREEPIO,"If only you had attached my legs, I wouldnt be in this  ridiculous position. Now, remember, Chewbacca, you have a responsibility to me, so dont do anything foolish.",episode V
HAN,Whats going on...buddy,episode V
LANDO,Youre being put into carbon freeze.,episode V
BOBA FETT,What if he doesnt survive Hes worth a lot to me.,episode V
VADER,The Empire will compensate you if he dies. Put him in,episode V
THREEPIO,"Oh, no No, no, no Stop, Chewbacca, stop...",episode V
HAN,"Stop, Chewie, stop Do you hear me Stop",episode V
THREEPIO,"Yes, stop, please Im not ready to die.",episode V
HAN,"Chewie Chewie, this wont help me. Hey",episode V
HAN,Save your strength. Therell be another time. The princess -- you  have to take care of her. You hear me,episode V
LEIA,I love you,episode V
HAN,I know.,episode V
THREEPIO,"What...whats going on Turn around, Chewbacca, I cant see.  Oh...theyve encased him in carbonite. He should be quite well-protected -- if he survives the freezing process, that is.",episode V
VADER,"Well, Calrissian, did he survive",episode V
LANDO,"Yes, hes alive. And in perfect hibernation.",episode V
VADER,Hes all yours bounty hunter. Reset the chamber for Skywalker.,episode V
IMPERIAL OFFICER,"Skywalker has just landed, my lord.",episode V
VADER,"Good. See to it that he finds his way here. Calrissian, take  the princess and the Wookiee to my ship.",episode V
LANDO,You said theyd be left in the city under my supervision.,episode V
VADER,I am altering the deal. Pray I dont alter it any further.,episode V
LEIA,"Luke Luke, dont -- its a trap Its a trap",episode V
VADER,"The Force is with you, young Skywalker. But you are not a Jedi  yet.",episode V
LANDO,Well done. Hold them in the security tower -- and keep it  quiet. Move.,episode V
LEIA,What do you think youre doing,episode V
LANDO,Were getting out of here.,episode V
THREEPIO,I knew all along it had to be a mistake.,episode V
LEIA,Do you think that after what you did to Han were going to trust  you,episode V
LANDO,I had no choice...,episode V
THREEPIO,"What are you doing Trust him, trust him",episode V
LEIA,"Oh, so we understand, dont we, Chewie He had no choice.",episode V
LANDO,Im just trying to help...,episode V
LEIA,We dont need any of your help.,episode V
LANDO,H-a-a-a...,episode V
LEIA,What,episode V
THREEPIO,It sounds like Han.,episode V
LANDO,"Theres still a chance to save Han...I mean, at the East  Platform...",episode V
LEIA,Chewie.,episode V
THREEPIO,"Im terribly sorry about all this. After all,  hes only a Wookiee.",episode V
BOBA FETT,Put Captain Solo in the cargo hold.,episode V
THREEPIO,Artoo Artoo Where have you been,episode V
THREEPIO,"Turn around, you wooly...  Hurry, hurry Were  trying to save Han from the bounty hunter",episode V
THREEPIO,"Well, at least your still in one piece Look what happened  to me",episode V
THREEPIO,"Oh, no Chewie, theyre behind you",episode V
VADER,"You have learned much, young one.",episode V
LUKE,Youll find Im full of surprises.,episode V
VADER,"Your destiny lies with me, Skywalker. Obi-Wan knew this to be  true.",episode V
LUKE,No,episode V
VADER,All to easy. Perhaps you are not as strong as the Emperor  thought.,episode V
VADER,Impressive...most impressive.,episode V
VADER,Obi-Wan has taught you well. You have controlled your fear...  now release your anger.,episode V
VADER,Only your hatred can destroy me.,episode V
LANDO,The security codes has been changed,episode V
THREEPIO,"Artoo, you can tell the computer to override the security  system.",episode V
LANDO,Attention This is Lando Calrissian. The Empire has takes  control of the city. I advise everyone to leave before more Imperial troops arrive.,episode V
LANDO,This way.,episode V
THREEPIO,Dont blame me. Im an interpreter. Im not supposed to know  a power socket from a computer terminal.,episode V
THREEPIO,"What are you talking about Were not interested in the  hyperdrive on the Millennium Falcon. Its fixed Just open the door, you stupid lump.",episode V
THREEPIO,I never doubted you for a second. Wonderful,episode V
THREEPIO,"Ouch Oh Ah That hurt, Bend down, you thoughtless...Ow",episode V
LANDO,Leia Go,episode V
THREEPIO,"I thought that hairy beast would be the end of me. Of  course, Ive looked better.",episode V
VADER,You are beaten. It is useless to resist. Dont let yourself be  destroyed as Obi-Wan did.,episode V
VADER,"There is no escape. Dont make me destroy you. You do not yet  realize your importance. You have only begun to discover you power. Join me and I will complete your training. With our combined strength, we can end this destructive conflict and bring order to the galaxy.",episode V
LUKE,Ill never join you,episode V
VADER,If you only knew the power of the dark side. Obi-Wan never told  you what happened to your father.,episode V
LUKE,He told me enough He told me you killed him.,episode V
VADER,No. I am your father.,episode V
LUKE,No. No. Thats not true Thats impossible,episode V
VADER,Search your feelings. You know it to be true.,episode V
LUKE,No No No,episode V
VADER,"Luke. You can destroy the Emperor. He has foreseen this. It is  your destiny. Join me, and we can rule the galaxy as father and son. Come with me. Its the only way.",episode V
LUKE,"Ben...Ben, please",episode V
LUKE,Ben. Leia,episode V
LUKE,Hear me Leia,episode V
LEIA,Luke...Weve got to go back.,episode V
LANDO,What,episode V
LEIA,I know where Luke is.,episode V
LANDO,But what about those fighter,episode V
LEIA,"Chewie, just do it.",episode V
LANDO,But what about Vader,episode V
LANDO,"All right, all right, all right.",episode V
VADER,Bring my shuttle.,episode V
LANDO,"Look, someones up there.",episode V
LEIA,"Its Luke. Chewie, slow down. Slow down and well get under him.  Lando, open the top hatch.",episode V
LEIA,"Okay. Easy, Chewie.",episode V
LEIA,Lando,episode V
LANDO,"Okay, lets go.",episode V
LUKE,"Oh, Leia.",episode V
LANDO,"All right, Chewie. Lets go.",episode V
LEIA,Ill be back.,episode V
LEIA,Star Destroyer.,episode V
LANDO,"All right, Chewie. Ready for light-speed.",episode V
LEIA,If your people fixed the hyperdrive.,episode V
LEIA,All the coordinates are set. Its now or never.,episode V
LANDO,Punch it,episode V
LANDO,They told me they fixed it. I trusted them to fix it. Its not  my fault,episode V
PIETT,"Theyll be in range of our tractor beam in moments, lord.",episode V
VADER,Did your men deactivate the hyperdrive on the Millennium  Falcon,episode V
PIETT,"Yes, my lord.",episode V
VADER,Good. Prepare the boarding party and set for your weapons for  stun.,episode V
PIETT,"Yes, my lord.",episode V
THREEPIO,Noisy brute. Why dont we just go into light-speed,episode V
THREEPIO,We cant How would you know the hyperdrive is deactivated,episode V
THREEPIO,"The citys central computer told you Artoo-Detoo, you know  better than to trust a strange computer. Ouch Pay attention to what youre doing",episode V
VADER,Luke.,episode V
LUKE,Father.,episode V
VADER,"Son, come with me.",episode V
LUKE,"Ben, why didnt you tell me",episode V
LANDO,Chewie,episode V
LUKE,Its Vader.,episode V
VADER,Luke...it is your destiny.,episode V
LUKE,"Ben, why didnt you tell me",episode V
PIETT,Alert all commands. Ready for the tractor beam.,episode V
THREEPIO,"Artoo, come back at once You havent finished with me yet  You dont know how to fix the hyperdrive. Chewbacca can do it. Im standing here in pieces, and youre having delusions of grandeur",episode V
THREEPIO,"Oh, you did it",episode V
LANDO,"Luke, were ready for takeoff.",episode V
LUKE,"Good luck, Lando",episode V
LANDO,"When we find Jabba the Hut and that bounty  hunter, well contact you.",episode V
LUKE,Ill meet you at the rendezvous point on  Tatooine.,episode V
LANDO,"Princess, well find Han. I promise.",episode V
LUKE,"Chewie, Ill be waiting for your signal.",episode V
LUKE,"Take care, you two. May the Force be with you.",episode V
LUKE,Ow,episode V
SHUTTLE CAPTAIN,"Command station, this is ST 321. Code Clearance Blue. Were starting our approach. Deactivate the security shield.",episode VI
DEATH STAR CONTROLLER,The security deflector shield will be deactivated when we have confirmation of your code transmission. Stand by... You are clear to proceed.,episode VI
SHUTTLE CAPTAIN,Were starting our approach.,episode VI
OFFICER,Inform the commander that Lord Vaders shuttle has arrived.,episode VI
OPERATOR,"Yes, sir.",episode VI
JERJERROD,"Lord Vader, this is an unexpected pleasure.  Were honored by your presence.",episode VI
VADER,"You may dispense with the pleasantries, Commander. Im here to put you back on schedule.",episode VI
JERJERROD,"I assure you, Lord Vader, my men are working as fast as they can.",episode VI
VADER,Perhaps I can find new ways to motivate them.,episode VI
JERJERROD,"I tell you, this station will be operational as planned.",episode VI
VADER,The Emperor does not share your optimistic appraisal of the situation.,episode VI
JERJERROD,But he asks the impossible. I need more men.,episode VI
VADER,Then perhaps you can tell him when he arrives.,episode VI
JERJERROD,The Emperors coming here,episode VI
VADER,"That is correct, Commander. And he is most displeased with your apparent lack of progress.",episode VI
JERJERROD,We shall double our efforts.,episode VI
VADER,"I hope so, Commander, for your sake. The Emperor is not as forgiving as I am.",episode VI
THREEPIO,"Of course Im worried. And you should be, too. Lando Calrissian and poor Chewbacca never returned from this awful place.",episode VI
THREEPIO,"Dont be so sure. If I told you half the things Ive heard about this Jabba the Hutt, Youd probably short-circuit.",episode VI
THREEPIO,"Artoo, are you sure this is the right place I better knock, I suppose.",episode VI
THREEPIO,There doesnt seem to be anyone there. Lets go back and tell Master Luke.,episode VI
STRANGE VOICE,Tee chuta hhat yudd,episode VI
THREEPIO,Goodness gracious me,episode VI
THREEPIO,Artoo Detoowha bo Seethreepiowha ey toota odd mischka Jabba du Hutt.,episode VI
THREEPIO,"I dont think theyre going to let us in, Artoo. Wed better go.",episode VI
THREEPIO,"Artoo, wait. Oh, dear Artoo. Artoo, I really dont think we should rush into all this.",episode VI
THREEPIO,"Oh, Artoo  Artoo, wait for me",episode VI
THREEPIO,"Just you deliver Master Lukes message and get us out of here. Oh my Oh Oh, no.",episode VI
